Invoice_ID,Customer_ID,Customer_Name,Invoice_Date,Due_Date,Currency,Invoice_Amount,Tax_Amount,Total_Amount,Payment_Status
INV10001,CUST1001,Acme Manufacturing,2026-01-06,2026-02-05,AUD,15979.17,1597.92,17577.09,PAID
INV10002,CUST1002,BlueSky Retail,2026-01-11,2026-02-10,USD,3883.54,388.35,4271.89,OVERDUE
INV10003,CUST1003,Northwind Logistics,2026-01-16,2026-02-15,USD,23098.22,2309.82,25408.04,PAID
INV10004,CUST1004,Southern Energy,2026-01-21,2026-02-20,USD,16429.53,1642.95,18072.48,OVERDUE
INV10005,CUST1005,Pacific Health,2026-01-26,2026-02-25,USD,19397.77,1939.78,21337.55,PAID
INV10006,CUST1006,Future Finance,2026-01-31,2026-03-02,EUR,17616.61,1761.66,19378.27,OVERDUE
INV10007,CUST1007,Green Foods,2026-02-05,2026-03-07,AUD,16235.25,1623.53,17858.78,PAID
INV10008,CUST1008,Vertex Mining,2026-02-10,2026-03-12,AUD,18961.96,1896.2,20858.16,OVERDUE
INV10009,CUST1009,Urban Telecom,2026-02-15,2026-03-17,EUR,6176.52,617.65,6794.17,OVERDUE
INV10010,CUST1010,Global Motors,2026-02-20,2026-03-22,AUD,20633.81,2063.38,22697.19,PAID
INV10011,CUST1001,Acme Manufacturing,2026-02-25,2026-03-27,EUR,17807.46,1780.75,19588.21,OVERDUE
INV10012,CUST1002,BlueSky Retail,2026-03-02,2026-04-01,EUR,23013.78,2301.38,25315.16,OVERDUE
INV10013,CUST1003,Northwind Logistics,2026-03-07,2026-04-06,AUD,3419.86,341.99,3761.85,PENDING
INV10014,CUST1004,Southern Energy,2026-03-12,2026-04-11,EUR,16517.86,1651.79,18169.65,OVERDUE
INV10015,CUST1005,Pacific Health,2026-03-17,2026-04-16,AUD,10852.52,1085.25,11937.77,OVERDUE
INV10016,CUST1006,Future Finance,2026-03-22,2026-04-21,USD,19361.56,1936.16,21297.72,PAID
INV10017,CUST1007,Green Foods,2026-03-27,2026-04-26,EUR,11600.76,1160.08,12760.84,PENDING
INV10018,CUST1008,Vertex Mining,2026-04-01,2026-05-01,AUD,15867.6,1586.76,17454.36,PENDING
INV10019,CUST1009,Urban Telecom,2026-04-06,2026-05-06,USD,21790.35,2179.03,23969.38,OVERDUE
INV10020,CUST1010,Global Motors,2026-04-11,2026-05-11,EUR,18625.39,1862.54,20487.93,PAID
